Bin_Start_Value,Count_410nm,Count_463nm,Count_500nm,Count_557nm,Count_605nm,Count_666nm,Count_693nm,Count_756nm,Count_807nm,Count_869nm
731.28515625,83,51,86,167,178,79,65,89,73,170
735.28125,86,41,75,151,191,98,61,100,67,157
739.27734375,79,50,59,142,192,102,59,108,88,140
743.2734375,81,50,75,126,168,97,55,87,70,131
747.26953125,89,46,73,136,217,91,62,102,76,132
751.265625,75,52,69,110,183,98,67,99,73,125
755.26171875,71,55,75,87,203,73,67,82,66,120
759.2578125,85,61,78,126,219,78,69,88,70,117
763.25390625,77,42,76,111,242,80,73,91,57,102
767.25,69,53,76,102,227,76,45,88,68,117
771.24609375,65,58,71,104,235,70,51,85,82,110
775.2421875,60,45,90,107,206,65,51,89,68,94
779.23828125,73,51,90,91,239,71,34,86,72,109
783.234375,77,50,90,92,261,57,57,84,87,96
787.23046875,72,49,98,93,288,64,55,75,74,88
791.2265625,83,48,97,82,294,78,42,68,103,65
795.22265625,68,60,72,93,321,56,58,66,84,96
799.21875,62,53,93,98,302,59,58,81,95,76
803.21484375,77,50,91,90,290,71,45,62,92,82
807.2109375,73,59,106,74,331,61,56,67,86,94
811.20703125,55,60,100,86,347,54,62,60,114,73
815.203125,68,54,83,88,344,52,42,65,92,86
819.19921875,71,45,97,51,390,63,46,56,92,79
823.1953125,58,50,124,59,429,56,49,54,93,74
827.19140625,63,52,104,80,442,41,41,59,110,75
831.1875,55,65,100,82,472,57,45,64,83,75
835.18359375,52,63,123,64,509,42,33,75,106,78
839.1796875,49,54,88,57,532,47,56,65,104,61
843.17578125,62,63,108,62,577,32,53,52,92,64
847.171875,67,59,122,85,589,37,46,75,94,68
851.16796875,66,67,111,84,617,33,46,71,102,66
855.1640625,74,63,117,66,660,14,47,72,122,77
859.16015625,54,48,116,83,717,11,42,67,96,69
863.15625,55,67,136,78,696,13,53,81,118,79
867.15234375,65,50,154,73,710,8,52,81,124,78
871.1484375,57,53,137,73,727,5,53,83,106,82
875.14453125,59,50,145,74,727,3,49,78,138,76
879.140625,61,54,151,87,799,0,46,74,113,90
883.13671875,55,52,191,80,797,0,57,63,115,76
887.1328125,52,48,190,95,854,0,43,73,136,74
891.12890625,53,59,191,79,818,0,57,78,153,86
895.125,49,51,194,83,835,0,47,65,130,85
899.12109375,64,59,225,71,916,0,45,72,138,67
903.1171875,49,45,262,79,955,0,28,65,147,91
907.11328125,50,58,238,74,958,0,39,67,160,81
911.109375,60,49,309,74,926,0,30,53,192,79
915.10546875,61,47,322,77,956,0,37,67,203,67
919.1015625,64,47,315,69,1040,0,43,65,236,66
923.09765625,53,55,360,57,1020,0,48,66,217,64
927.09375,48,63,388,60,1017,0,48,67,220,57
931.08984375,49,50,408,60,1025,0,39,49,256,65
935.0859375,59,48,394,57,1008,0,41,48,262,65
939.08203125,44,61,456,62,977,0,48,52,277,47
943.078125,46,57,487,66,1018,0,35,60,310,73
947.07421875,53,62,551,47,1008,0,40,44,313,55
951.0703125,50,67,550,69,962,0,41,46,369,52
955.06640625,45,60,575,63,994,0,44,58,372,71
959.0625,39,76,557,68,941,0,52,60,382,49
963.05859375,47,73,662,56,931,0,33,50,428,63
967.0546875,51,78,595,62,910,0,44,52,430,54
971.05078125,50,70,637,52,893,0,43,48,464,49
975.046875,40,69,669,54,928,0,36,44,500,53
979.04296875,34,60,687,47,931,0,43,37,524,53
983.0390625,37,62,709,44,901,0,55,28,536,43
987.03515625,54,90,720,35,960,0,39,35,537,61
991.03125,41,88,745,36,883,0,53,31,596,42
995.02734375,44,79,783,37,927,0,46,31,593,46
999.0234375,58,86,793,42,981,0,54,24,664,35
1003.01953125,38,84,777,27,965,0,49,15,673,45
1007.015625,50,86,746,23,977,0,46,14,722,26
1011.01171875,43,102,761,27,936,0,44,4,749,37
1015.0078125,39,98,782,13,989,0,48,2,675,30
1019.00390625,207919,202485,183883,80,156328,1,208031,3,189174,75
